llr, words, chars, wd_len_agg, capitals, quantifiers, sw, begins_with_sw, has_diag, abs, has_quotations, has_parenthesis, has_colon, has_dash, has_semicolon, nouns, verbs, adj, adv, has_comp, has_super, has_pp
24.893051202627053, 29, 159, 4.517241379310345, 2, 3, 13, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 4, 2, 0, 0, 1
16.66743065213955, 7, 48, 6.0, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 3, 2, 0, 0, 0, 0, 0
14.500201613003675, 10, 64, 5.5, 2, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 1, 3, 0, 3, 0, 0, 1
23.13282047163802, 17, 91, 4.411764705882353, 3, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 3, 1, 1, 0, 1
18.196873288702005, 25, 138, 4.56, 1, 1, 13, 0, 0, 0, 0, 0, 0, 1, 0, 5, 4, 2, 3, 0, 0, 1
20.699785527252565, 28, 162, 4.821428571428571, 2, 0, 12, 0, 0, 0, 0, 0, 0, 1, 0, 8, 3, 3, 1, 0, 0, 1
18.119518133701508, 10, 41, 3.2, 3, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3, 1, 0, 1
17.692430744970903, 8, 45, 4.75, 1, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 1, 0, 0, 0, 1
16.98727026818871, 11, 63, 4.818181818181818, 2, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 1
18.53940617187243, 29, 158, 4.482758620689655, 2, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 2, 2, 0, 0, 1
12.487988200688788, 3, 21, 6.333333333333333, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0
14.117517277484525, 12, 66, 4.583333333333333, 3, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 1, 1, 0, 0, 1
23.398459518463405, 24, 149, 5.25, 2, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 3, 4, 0, 0, 1
17.681371668467133, 16, 94, 4.9375, 1, 0, 8, 0, 0, 0, 0, 0, 0, 1, 0, 4, 1, 3, 2, 0, 0, 1
16.543226411197406, 18, 130, 6.277777777777778, 1, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 2, 2, 0, 0, 1
23.250449232090993, 23, 144, 5.304347826086956, 1, 0, 8, 0, 0, 1, 0, 0, 0, 0, 0, 10, 3, 2, 0, 0, 0, 1
7.68861982017444, 20, 118, 4.95, 1, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 4, 0, 0, 0, 1
12.807086633796736, 26, 145, 4.615384615384615, 1, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 1, 2, 0, 0, 1
15.58546788073206, 24, 119, 4.0, 1, 1, 15, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 1, 0, 0, 0, 0
18.04817009793161, 31, 177, 4.741935483870968, 1, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 3, 2, 0, 0, 1
11.61481707873752, 5, 21, 3.4, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 1
10.395741246765127, 13, 70, 4.461538461538462, 1, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 0, 0, 1
22.92584946528461, 22, 128, 4.863636363636363, 2, 0, 10, 0, 1, 0, 0, 1, 0, 0, 1, 4, 6, 2, 1, 0, 0, 1
24.76155289817454, 34, 202, 4.970588235294118, 1, 1, 16, 0, 0, 0, 0, 0, 0, 1, 0, 11, 5, 2, 1, 0, 0, 1
17.919524236919713, 26, 132, 4.115384615384615, 1, 1, 16, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 0, 3, 0, 0, 1
15.659984462776588, 24, 143, 5.0, 1, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 5, 0, 0, 0, 0
11.220107110413357, 4, 16, 3.25, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1, 0, 0, 0
3.7796376568513406, 4, 20, 4.25, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0
11.919898353015178, 10, 54, 4.5, 1, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 1, 0, 0, 0
24.98366174776743, 26, 136, 4.269230769230769, 2, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 0, 1, 0, 0, 1
18.843185336634367, 23, 145, 5.3478260869565215, 1, 0, 9, 0, 0, 0, 0, 0, 0, 1, 0, 7, 5, 1, 0, 0, 0, 1
21.944983181083536, 17, 114, 5.764705882352941, 1, 0, 7, 0, 0, 1, 0, 0, 0, 1, 0, 6, 2, 2, 0, 0, 0, 1
11.903519288792307, 6, 36, 5.166666666666667, 1, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1
