llr, words, chars, wd_len_agg, capitals, quantifiers, sw, begins_with_sw, has_diag, abs, has_quotations, has_parenthesis, has_colon, has_dash, has_semicolon, nouns, verbs, adj, adv, has_comp, has_super, has_pp,label
57.61228107250233, 56, 262, 3.6785714285714284, 7, 1, 32, 0, 1, 0, 1, 0, 0, 1, 1, 7, 12, 7, 5, 0, 1, 1,1
10.147379651888581, 8, 46, 4.75, 1, 0, 5, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 2, 0, 1, 0, 0,1
17.985807088980486, 11, 81, 6.363636363636363, 1, 1, 3, 0, 0, 1, 0, 0, 0, 0, 0, 3, 2, 1, 1, 0, 0, 0,1
20.18061058439266, 17, 117, 5.882352941176471, 1, 0, 5, 0, 0, 2, 0, 0, 0, 0, 0, 6, 2, 2, 2, 1, 0, 0,1
17.960142040151016, 41, 225, 4.487804878048781, 1, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 10, 6, 4, 3, 0, 0, 1,1
100.57811438158745, 83, 479, 4.759036144578313, 12, 1, 36, 0, 0, 1, 0, 0, 0, 1, 0, 19, 13, 7, 11, 0, 0, 1,1
14.127186098326476, 12, 57, 3.75, 1, 0, 6, 0, 0, 2, 1, 0, 0, 0, 0, 3, 3, 2, 0, 0, 0, 0,1
10.817261242097572, 14, 75, 4.357142857142857, 1, 0, 7, 0, 0, 1, 0, 0, 0, 0, 0, 4, 2, 2, 0, 0, 0, 0,1
18.150572757572846, 21, 116, 4.523809523809524, 1, 0, 11, 0, 0, 2, 0, 0, 0, 0, 0, 5, 2, 3, 1, 1, 0, 0,1
8.123775526491723, 10, 51, 4.1, 1, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0, 2, 1, 0, 1, 0, 0, 0,1
25.02300006312849, 22, 132, 5.0, 2, 0, 10, 0, 0, 0, 1, 0, 0, 0, 0, 6, 5, 2, 2, 0, 0, 0,1
38.38190158510464, 24, 156, 5.5, 3, 0, 12, 0, 0, 1, 1, 0, 0, 0, 0, 5, 4, 1, 6, 0, 0, 0,1
25.358538616691543, 19, 112, 4.894736842105263, 2, 1, 10, 0, 0, 3, 0, 0, 0, 0, 0, 5, 4, 2, 2, 1, 0, 0,1
