llr, words, chars, wd_len_agg, capitals, quantifiers, sw, begins_with_sw, has_diag, abs, has_quotations, has_parenthesis, has_colon, has_dash, has_semicolon, nouns, verbs, adj, adv, has_comp, has_super, has_pp, label
11.739718420098862, 7, 52, 6.428571428571429, 1, 0, 2, 0, 0, 2, 1, 0, 0, 0, 0, 3, 1, 1, 0, 0, 0, 0, 1
9.459891321288566, 9, 54, 5.0, 1, 0, 5, 0, 0, 1, 0, 0, 0, 0, 0, 3, 1, 0, 1, 0, 0, 0, 1
9.33821693830182, 6, 29, 3.8333333333333335, 1, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 1, 1
18.183249439191634, 13, 80, 5.153846153846154, 2, 0, 7, 0, 0, 1, 1, 0, 0, 0, 0, 2, 3, 2, 1, 0, 0, 0, 1
8.004214951238549, 9, 45, 4.111111111111111, 1, 0, 6, 0, 0, 1, 1, 0, 0, 0, 0, 2, 2, 0, 2, 0, 0, 0, 1
11.916485710393447, 14, 96, 5.857142857142857, 1, 0, 6, 0, 0, 1, 1, 0, 0, 1, 0, 7, 1, 1, 0, 0, 0, 0, 1
23.640521804580118, 24, 129, 4.375, 3, 0, 12, 0, 0, 0, 1, 0, 0, 0, 0, 3, 5, 4, 2, 1, 1, 1, 1
11.154695082621897, 8, 39, 3.875, 1, 0, 4, 0, 0, 1, 1, 0, 0, 0, 0, 2, 3, 0, 0, 0, 0, 0, 1
9.447866319054157, 10, 60, 5.0, 1, 0, 5, 0, 0, 1, 0, 0, 0, 0, 0, 3, 1, 2, 0, 0, 1, 0, 1
11.742117552555134, 8, 55, 5.875, 1, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 3, 1, 1, 0, 0, 0, 0, 1
8.225332977323262, 12, 63, 4.25, 1, 0, 8, 0, 0, 1, 0, 0, 0, 0, 0, 2, 3, 2, 0, 0, 1, 0, 1
19.904218973972608, 26, 127, 3.8846153846153846, 2, 1, 14, 0, 0, 1, 0, 0, 0, 0, 1, 8, 6, 1, 2, 0, 0, 0, 1
21.977971174778297, 25, 135, 4.4, 2, 1, 13, 0, 0, 3, 0, 0, 0, 0, 0, 7, 6, 0, 0, 0, 0, 0, 1
10.61393200350371, 10, 55, 4.5, 1, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 1, 0, 0, 0, 0, 1
12.77876312051383, 15, 73, 3.8666666666666667, 2, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 0, 1, 0, 0, 0, 1
7.395049473047641, 7, 38, 4.428571428571429, 1, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 1
13.943179340783768, 13, 65, 4.0, 2, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 1, 1, 0, 0, 0, 1
17.66787284883477, 12, 70, 4.833333333333333, 2, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0, 2, 2, 2, 1, 0, 0, 0, 1
6.31431862544054, 5, 25, 4.0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1
11.305104455299892, 11, 60, 4.454545454545454, 1, 0, 5, 0, 0, 2, 0, 0, 0, 0, 0, 5, 1, 0, 1, 0, 0, 0, 1
11.436887420138529, 7, 40, 4.714285714285714, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 3, 1, 1, 0, 0, 0, 0, 1
9.641403788679451, 7, 46, 5.571428571428571, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 0, 0, 0, 0, 1
